Área,Tabla Origen (FK),Columna FK,Tabla Destino (PK),Columna PK
Académico,agenda,id_taller,talleres,id_taller
Académico,agenda_cursos,id_curso,cursos,id_curso
Académico,modulos,id_curso,cursos,id_curso
Académico,talleres,id_maestra,maestras,id_maestra
Comercial,venta,id_taller,talleres,id_taller
Comercial,venta,id_alumna,alumnas,id_alumna
Comercial,venta,id_cliente,clientes,id_cliente
Comercial,detalle_venta,idVenta,venta,idVenta
Comercial,detalle_venta,id_kit,kits_productos,id_kit
Comercial,detalle_venta,id_producto,productos,id_producto
Financiero,historial_pagos,idVenta,venta,idVenta
Financiero,historial_pagos,id_intermedia,intermedia_a,id_intermedia
Financiero,descuentos,id_alumna,alumnas,id_alumna
Inscripciones,interesadas,id_alumna,alumnas,id_alumna
Inscripciones,interesadas,id_agenda,agenda,id_agenda
Inscripciones,interesadas,id_agenda_curso,agenda_cursos,id_agenda_curso
Inscripciones,intermedia_a,id_alumna,alumnas,id_alumna
Inscripciones,intermedia_a,id_agenda,agenda,id_agenda
Inscripciones,intermedia_a,id_agenda_curso,agenda_cursos,id_agenda_curso
Inventario,inventario,id_instituto,institutos,id_instituto
Inventario,inventario,id_producto,productos,id_producto
Inventario,inventario_stock,id_instituto,institutos,id_instituto
Inventario,inventario_stock,id_producto,productos,id_producto
Logística,productos_kits,id_kit,kits_productos,id_kit
Logística,productos_kits,id_producto,productos,id_producto